2016 Employment,5-year Employment Change,Sector
400,0.333333333,Mining and logging
14800,0.254237288,Construction
48300,0.115473441,Manufacturing
13400,-0.19760479,Wholesale trade
31200,0.102473498,Retail trade
4700,0.342857143,"Transportation, warehousing, and utilities"
7300,-0.075949367,Information
16300,0.072368421,Financial activities
54000,0.467391304,Professional and business services
34100,0.136666667,Education and health services
25600,0.273631841,Leisure and hospitality
8700,0.208333333,Other services
23800,0.03030303,Government
